EV_Ali_19	EV_Ali_25	EV_Ali_26	EV_int24_2	EV_int30_2	EV_int32_1	WCL_Ali_19	WCL_Ali_25	WCL_Ali_26	WCL_Int_24	WCL_Int_30	WCL_Int_31	Annotation	Category
"-155,572"	-0.0332165	-0.0150013	"-295,853"	-0.620632	"-216,733"	"321,604"	"344,204"	"348,849"	"36,027"	"370,593"	"355,325"	Aspartate--tRNA(Asp/Asn) ligase	Translation 
0.774197	0.276112	"206,088"	-0.05124	"208,463"	"260,762"	"350,511"	"35,919"	"382,027"	"37,936"	"374,678"	"374,538"	"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase, fructose-bisphosphate aldolase"	Amino acid-associated functions
"13,476"	"338,825"	"337,564"	0.554772	"341,179"	"138,377"	"422,793"	"40,213"	"425,217"	"206,339"	"156,767"	"327,783"	Pyrroline-5-carboxylate reductase	NADPH regeneration
"-21,905"	"-194,042"	"-185,583"	"-235,296"	"-428,796"	"-200,439"	"170,555"	0.997679	"135,188"	0.566055	"137,076"	0.408993	"Precorrin-3 methylase, CbiF"	vitamin biosynthesis
"-163,819"	"186,469"	"277,864"	"-168,275"	"216,125"	0.767101	"273,252"	"331,728"	"302,624"	"368,387"	"380,069"	"349,024"	Threonine synthase	Amino acid-associated functions
0.64649	"23,415"	"137,084"	"129,341"	"118,428"	"12,413"	"231,748"	"304,678"	"271,665"	"300,141"	"284,583"	"272,728"	Cysteine--tRNA ligase	Translation 
"115,291"	0.356966	"214,202"	"-181,474"	-0.586817	0.361723	"204,372"	"156,158"	"240,998"	"274,819"	"279,007"	"189,234"	Large ribosomal subunit protein eL15	Translation 
"-290,587"	-0.31974	-0.960739	"-288,215"	"-120,275"	"-214,746"	"21,968"	"270,649"	"298,861"	"185,331"	"215,815"	"182,585"	Formylmethanofuran:tetrahydromethanopterin formyltransferase	Methanogenesis/ C1 metabolic processes
-0.522709	"114,564"	-0.594946	-0.890105	-0.88938	"-19,222"	"159,234"	"143,519"	"129,546"	0.55842	"143,398"	"150,222"	Succinate dehydrogenase and fumarate reductase iron-sulfur protein	Tricarboxylic acid cycle
-0.666756	0.87904	0.287697	0.0612974	-0.423717	0.399729	-0.294447	0.933548	0.911591	"182,177"	0.471688	0.33824	L-aspartate dehydrogenase	NAD biosynthetic process
"119,321"	"289,443"	"307,276"	-0.264754	"17,183"	"155,029"	"30,651"	"303,551"	"294,342"	"428,482"	"421,219"	"375,256"	Pyruvate ferredoxin oxidoreductase	Pyruvate-associated functions
"101,582"	"365,128"	"363,387"	"244,541"	"337,651"	"136,764"	"393,473"	"472,064"	"435,927"	"463,481"	"451,275"	"449,024"	"Molybdenum cofactor biosynthesis-related protein, MoaA"	Cofactor biosynthesis
0.0902672	"180,329"	"220,811"	"230,836"	"241,874"	0.895424	"-13,443"	"-188,444"	"-337,634"	0.459433	"-158,621"	-0.0145493	Adhesin-like protein	Adhesin/ adhesion/ IG-like
"146,911"	"296,902"	"289,021"	"177,454"	"286,296"	"149,734"	"339,126"	"383,232"	"343,818"	"204,985"	"17,657"	"111,585"	"Pyruvate carboxylase, subunit B, PycB"	Transport
"603,368"	"742,183"	"7,086"	"57,122"	"652,405"	"567,026"	"788,452"	"860,388"	"797,984"	"673,132"	"659,132"	"636,822"	F420-non-reducing hydrogenase subunit A	Hydrogenase-associated functions
-0.255329	"21,377"	"366,166"	"100,613"	"348,317"	"269,251"	"540,808"	"557,254"	"611,334"	"601,018"	"567,548"	"557,973"	"N5-methyl-tetrahydromethanopterin:coenzyme M methyltransferase, subunit H, MtrH"	Methanogenesis/ C1 metabolic processes
"109,666"	"292,934"	"38,597"	"223,723"	"395,192"	"253,066"	"178,499"	"34,841"	"325,481"	"373,978"	"334,873"	"320,121"	Tetrahydromethanopterin S-methyltransferase subunit A	Methanogenesis/ C1 metabolic processes
"49,771"	"-110,674"	"431,944"	-0.651551	"412,557"	"344,237"	"913,719"	"891,383"	"860,033"	"930,564"	"909,052"	"941,421"	Methyl-coenzyme M reductase subunit gamma	Methanogenesis/ C1 metabolic processes
0.493519	0.904993	-0.398548	-0.628589	0.254354	"-258,116"	"-103,141"	0.170441	-0.793549	"-143,498"	0.245746	-0.957216	"Energy-converting hydrogenase B, subunit N, EhbN"	Hydrogenase-associated functions
"665,517"	"669,757"	"60,564"	"473,081"	"576,133"	"489,798"	"348,543"	"309,644"	"162,149"	"-342,432"	"-483,978"	"-441,137"	Adhesin-like protein	Adhesin/ adhesion/ IG-like
"429,903"	"491,924"	"662,382"	"300,918"	"612,238"	"437,609"	"267,112"	"298,367"	"183,448"	"-295,123"	-0.968379	"-184,617"	cobaltochelatase subunit CobN	vitamin biosynthesis
0.68091	"171,268"	"177,864"	0.121226	"12,652"	-0.499966	"112,941"	"207,458"	"149,655"	0.994354	"117,131"	"113,794"	DUF2264 domain-containing protein	unknown function
"154,581"	0.749609	"221,884"	-0.487639	"183,724"	0.891325	"333,958"	"39,146"	"355,866"	"277,314"	"29,951"	"315,321"	"UDP-N-acetylglucosamine 4,6-dehydratase"	Nucleobase-associated functions
"106,225"	-0.174309	"335,147"	0.917899	"272,393"	"-173,317"	"211,718"	"232,656"	"198,223"	"316,113"	"285,265"	"227,783"	Valine--tRNA ligase	Translation 
-0.00227165	"261,601"	-0.93198	"137,141"	-0.140102	0.719347	"288,452"	"332,656"	"278,411"	"279,766"	"258,416"	"22,578"	Adenylosuccinate lyase	Nucleobase-associated functions
"-104,383"	"367,889"	"330,189"	"180,998"	"339,073"	"18,539"	"364,652"	"577,248"	"582,384"	0.77149	0.876945	0.736	Putative methanogenesis marker 16 metalloprotein	unknown function
"536,667"	"195,779"	"379,666"	-0.598533	"403,119"	"181,116"	"786,752"	"816,399"	"797,584"	"906,382"	"873,437"	"911,682"	Methyl-coenzyme M reductase subunit alpha	Methanogenesis/ C1 metabolic processes
"616,613"	"375,869"	"550,834"	"157,469"	"514,875"	"419,258"	"879,141"	"912,796"	"896,578"	"949,717"	"944,807"	"976,969"	Methyl-coenzyme M reductase subunit beta	Methanogenesis/ C1 metabolic processes
0.480551	"199,122"	"-16,013"	0.399608	"116,621"	"116,866"	"415,505"	"415,229"	"41,872"	"502,583"	"48,896"	"506,227"	Methyl coenzyme M reductase system component A2	Methanogenesis/ C1 metabolic processes
0.457573	"328,871"	"289,691"	"253,287"	"281,633"	"20,038"	0.338699	"405,239"	"406,594"	"-319,032"	-0.266459	-0.201635	Putative DNA primase large subunit PriL	DNA-associated functions
"314,574"	"180,329"	"185,627"	0.904843	"132,711"	0.11694	"36,746"	"383,232"	"392,361"	"308,348"	"341,935"	"415,592"	Ribonuclease J	Exonuclease
-0.160864	"-116,446"	"145,853"	-0.674884	-0.123846	-0.765156	0.857828	"171,358"	"129,956"	0.396605	0.96771	0.455477	Probable tRNA sulfurtransferase	vitamin biosynthesis
-0.477722	0.925886	"355,565"	-0.941056	"301,751"	"-115,666"	"252,453"	"280,934"	"276,939"	"357,459"	"366,389"	"274,898"	Isoleucine--tRNA ligase	Translation 
"135,827"	"207,674"	"214,202"	"10,183"	0.370789	"169,839"	"470,555"	"517,044"	"479,323"	"580,373"	"555,518"	"510,635"	formylmethanofuran dehydrogenase	Methanogenesis/ C1 metabolic processes
"458,496"	"618,661"	"632,813"	"462,532"	"595,312"	"448,209"	"14,039"	"171,358"	0.097517	"-174,113"	0.616584	0	Putative IG-like domain containing protein	Adhesin/ adhesion/ IG-like
"-294,256"	-0.31974	-0.303391	"-160,599"	-0.714882	"-226,474"	"-104,967"	-0.214682	0.202072	0	"-319,393"	"-20,891"	CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A)	Anti-viral defense
"115,087"	0.916637	"256,828"	0.299407	"147,319"	"129,813"	"-250,176"	"-360,347"	0	-0.292641	"-268,444"	"-123,532"	Bacterial Ig-like domain-containing protein	Adhesin/ adhesion/ IG-like
"553,292"	"527,972"	"501,238"	"323,462"	"45,192"	"534,459"	"15,671"	"131,169"	0.375404	0	"-316,074"	"-18,177"	Adhesin-like protein	Adhesin/ adhesion/ IG-like
"343,338"	"314,762"	"308,453"	"13,523"	"270,699"	"158,876"	-0.678959	"-252,192"	-0.590015	0	"-287,467"	-0.0895767	Adhesin/ adhesin-like protein	Adhesin/ adhesion/ IG-like
"381,867"	0.902653	"280,023"	"239,961"	"289,323"	"27,671"	0.387024	0.153858	"-294,283"	0.23362	0.0364218	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"264,067"	"280,329"	"128,362"	"116,788"	0.845522	"145,631"	-0.582745	"-274,076"	"-396,685"	"-29,615"	-0.705344	0	Adhesin/ adhesin-like protein	Adhesin/ adhesion/ IG-like
"70,406"	"802,624"	"802,428"	"644,823"	"742,393"	"717,056"	"411,974"	"431,262"	"117,105"	0	"-306,406"	0	Putative trimeric autotransporter adhesin	Adhesin/ adhesion/ IG-like
"493,761"	"586,469"	"684,333"	"40,557"	"617,978"	"539,973"	"101,984"	"207,458"	"-34,453"	0	0	0.0521221	Putative adhesin 	Adhesin/ adhesion/ IG-like
"-158,269"	-0.174309	-0.688055	-0.755502	-0.374807	-0.936699	"-170,044"	"-119,331"	"-22,375"	"-363,731"	0	0	Putative F420-nonreducing hydrogenase	Methanogenesis/ C1 metabolic processes
"261,865"	"348,136"	"47,475"	"13,523"	"435,674"	"451,076"	-0.372751	0.352224	0	0	"137,266"	0.451954	Putative Transglutaminase-like superfamily	Adhesin/ adhesion/ IG-like
"412,506"	"600,082"	"615,743"	"42,783"	"558,712"	"35,141"	"421,365"	"148,741"	0	0	-0.339217	"-1,224"	Putative right-handed parallel beta-helix repeat-containing protein	unknown function
"599,146"	"67,514"	"593,155"	"577,184"	"586,041"	"5,032"	"155,506"	"191,152"	"-18,728"	"-355,735"	0	0	Putative Peptidase_C1	Proteolysis
"557,165"	"519,859"	"589,858"	"35,265"	"555,593"	"400,617"	"106,297"	0	"-527,978"	"-425,762"	0	0	Putative IG-like domain containing protein	Adhesin/ adhesion/ IG-like
"541,006"	"489,737"	"520,542"	"167,807"	"501,751"	"239,973"	"215,754"	"17,554"	"-197,212"	0	"-430,098"	0	Putative right-handed parallel beta-helix repeat-containing protein	unknown function
-0.288244	-0.0198383	"-164,201"	0.0327768	0.718302	-0.226206	"-37,814"	0	0	"-286,314"	"-250,343"	"-202,851"	Dimethylmenaquinone methyltransferase	Methyltransferase
"522,806"	"519,859"	"601,084"	"42,136"	"554,803"	"483,269"	"205,445"	"183,557"	0.83165	0	0	"-136,602"	Adhesin-like protein	Adhesin/ adhesion/ IG-like
"412,245"	"506,108"	"587,334"	"272,711"	"550,784"	"475,023"	"175,899"	"189,914"	"-272,297"	"-193,845"	0	0	Hypothetical protein	unknown function
"519,123"	"616,236"	"505,341"	"490,484"	"509,551"	"481,927"	"205,445"	"189,914"	"-162,204"	0	0	"-333,304"	Adhesin-like protein	Adhesin/ adhesion/ IG-like
"334,671"	0.0195713	"107,983"	"-340,322"	-0.215609	"-25,939"	"-327,827"	0	0	"457,223"	"338,682"	"219,596"	Formylmethanofuran dehydrogenase	unknown cell wall-associated functions
0.823814	"254,276"	"406,088"	0.781695	"421,016"	"324,371"	0.143545	-0.125954	"-214,159"	0	"-479,369"	0	Polymorphic outer membrane protein repeat (3 repeats)	Adhesin/ adhesion/ IG-like
"353,879"	"453,144"	"341,814"	"321,624"	"32,995"	"31,222"	-0.407658	-0.236378	"-32,141"	0	0	0	Putative adhesin 	Adhesin/ adhesion/ IG-like
"375,615"	"454,463"	"393,318"	"257,057"	"327,672"	"31,046"	"-187,318"	"-103,284"	"-486,136"	0	0	0	Putative Peptidase_C1	Proteolysis
"512,766"	"602,792"	"700,311"	"407,039"	"644,962"	"533,519"	"30,651"	"302,415"	"-221,038"	0	0	0	Putative adhesin	Adhesin/ adhesion/ IG-like
"330,594"	"21,377"	"277,138"	"153,287"	"231,076"	"312,656"	"-112,513"	"-272,261"	"-387,893"	0	0	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"856,206"	"79,819"	"772,839"	"642,555"	"734,857"	"756,765"	"471,404"	"421,108"	"240,046"	0	0	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"465,156"	"3,797"	"262,584"	"397,367"	"311,491"	"445,631"	0.929501	"-10,616"	-1	0	0	0	Putative Peptidase_C1	Proteolysis
"451,514"	"328,871"	"304,891"	"-155,459"	"24,394"	"32,194"	"-112,513"	"-25,862"	"-172,555"	0	0	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
-0.710699	"100,873"	"305,491"	"-132,193"	"182,683"	"151,076"	0.433783	"171,358"	"171,818"	0	0	0	Putative Tetrahydromethanopterin S-methyltransferase subunit B	Methanogenesis/ C1 metabolic processes
0.841673	"117,308"	"218,641"	0.650178	"236,935"	"234,833"	-0.0178661	0.102934	0.0200367	0	0	0	Hypothetical protein	unknown function
"562,786"	"575,546"	"555,141"	"465,486"	"556,379"	"577,824"	"253,988"	"254,895"	"270,122"	0	0	0	Putative Adhesin	Adhesin/ adhesion/ IG-like
"-146,512"	-0.0926704	"-111,382"	"-356,267"	"-231,376"	"-217,439"	0.538347	"135,947"	"159,167"	0	0	0	Putative Thiamine-monophosphate kinase	vitamin biosynthesis
"19,771"	"236,719"	"137,084"	"103,037"	"143,255"	"10,814"	"-204,247"	"-25,252"	"-206,904"	0	0	0	Putative adhesin 	Adhesin/ adhesion/ IG-like
"419,371"	"607,414"	"506,386"	"446,778"	"467,104"	"489,798"	"174,582"	"258,032"	-0.620712	0	0	0	Putative adhesin 	Adhesin/ adhesion/ IG-like
"776,996"	"738,563"	"693,155"	"534,628"	"607,365"	"662,855"	"278,499"	"140,047"	"119,328"	0	0	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
-0.884346	"153,522"	"240,881"	0.676536	"264,311"	0.992365	"244,524"	"240,748"	"188,998"	0	0	0	CRISPR system Cms endoribonuclease Csm3	Anti-viral defense
0.0425358	"161,601"	"-283,737"	-0.0436277	0.979456	"-325,211"	0	0	0	0.0927582	"-250,491"	"-160,043"	Adhesin/ adhesin-like protein	Adhesin/ adhesion/ IG-like
"422,564"	"321,518"	"392,338"	"116,788"	"305,369"	"315,248"	-0.467777	"-101,398"	0	0	0	"237,405"	Adhesin-like protein	Adhesin/ adhesion/ IG-like
"544,177"	"610,627"	"641,814"	"48,548"	"607,365"	"447,526"	"320,645"	"296,002"	"-241,402"	0	0	0	Adhesin/ adhesin-like protein	Adhesin/ adhesion/ IG-like
"258,117"	"295,215"	"383,899"	0.930839	"328,054"	0.319641	0.446867	0.620096	"-392,423"	0	0	0	Adhesin/ adhesin-like protein	Adhesin/ adhesion/ IG-like
"591,067"	"326,158"	"119,513"	"474,003"	"409,551"	"370,716"	"104,802"	-0.14122	"-307,026"	0	0	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"131,327"	"177,797"	0.460337	"16,073"	"-122,859"	-0.996199	0.29233	"168,501"	"108,092"	0	0	0	Bacterial Ig-like domain-containing protein	Adhesin/ adhesion/ IG-like
"202,254"	"239,242"	"273,448"	"108,927"	"255,751"	"163,852"	-0.431406	-0.552851	0	0	0	0	Putative carboxypeptidase-like regulatory domain-containing protein	unknown function
"532,193"	"518,661"	"529,684"	"331,824"	"469,844"	"425,771"	"-187,696"	0	0	0	"-303,369"	0	Putative DUF11 domain-containing protein	unknown cell wall-associated functions
"353,879"	"337,565"	"372,322"	"302,133"	"35,192"	"357,924"	-0.91803	"-225,281"	0	0	0	0	Putative adhesin 	Adhesin/ adhesion/ IG-like
0.951483	"32,432"	"255,987"	"168,573"	"231,076"	"130,431"	"-30,431"	"-41,499"	0	0	0	0	Hypothetical protein	unknown function
"275,951"	"350,083"	"327,645"	"224,761"	"339,073"	"217,373"	0.586443	0.981323	0	0	0	0	Putative adhesin	Adhesin/ adhesion/ IG-like
"474,603"	"232,412"	"327,645"	"137,141"	"170,699"	"151,076"	-0.498806	"-163,692"	0	0	0	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
0.538012	0.356966	0.86994	"-156,909"	0.641928	"104,865"	"153,835"	"180,934"	0	0	0	0	50S ribosomal protein L1	Translation 
0.0336838	0.805792	"153,605"	-0.605989	"147,319"	0.841213	"-361,217"	"-198,223"	0	0	0	0	Cysteine protease	Protease
"355,048"	"276,515"	"399,377"	0.134711	"357,939"	"345,284"	"-175,075"	"-339,816"	0	0	0	0	Putative Adhesin	Adhesin/ adhesion/ IG-like
0.85178	"168,571"	"342,742"	0.086957	"216,951"	"222,348"	"-391,623"	0	"-476,672"	0	0	0	Bacterial Ig-like domain-containing protein	Adhesin/ adhesion/ IG-like
0.810923	"226,158"	"276,407"	-0.858596	"255,751"	-0.771639	"-315,892"	0	0	0	0	0	Putative adhesin 	Adhesin/ adhesion/ IG-like
"11,344"	"238,406"	"224,005"	0.334886	"260,094"	-0.366383	0	"-121,468"	0	0	0	0	Putative Succinylglutamate desuccinylase/aspartoacylase family protein	Amino acid-associated functions
"-177,036"	"14,205"	"236,119"	"-173,901"	"206,703"	0.728565	0	0	0	0	0	0	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
0.869297	0.669289	0.861752	-0.126983	"-148,468"	"103,757"	0	0	0	0	0	0	Putative DUF11 domain-containing protein	unknown cell wall-associated functions
